shapeName,shapeISO,shapeID,shapeGroup,shapeType,longitude,latitude
Girei,,59680162B61760155439631,NGA,ADM2,12.481997420613851,9.441102407187163
Yola North,,59680162B21673152212894,NGA,ADM2,12.448496392927467,9.250808484506303
Yola South,,59680162B24147659958725,NGA,ADM2,12.347766963753827,9.255493873222536
Machina,,59680162B29257457515537,NGA,ADM2,9.984632711008526,13.02845795638315
Nguru,,59680162B38485988708032,NGA,ADM2,10.386259075751171,12.960934705230471
Damboa,,59680162B27422550871896,NGA,ADM2,12.678793305818587,11.110470464009547
Numan,,59680162B26521045145337,NGA,ADM2,11.80076791991823,9.446106306164404
Biu,,59680162B23952502219543,NGA,ADM2,12.108425784886702,10.810824041064082
Dikwa,,59680162B86155479852967,NGA,ADM2,14.048743533256477,11.924452224405055
Lamurde,,59680162B57364751970918,NGA,ADM2,11.695038376100747,9.562568063201661
Monguno,,59680162B31936578466171,NGA,ADM2,13.65033843246318,12.551386995357069
Ngala,,59680162B65219804693248,NGA,ADM2,14.157351096829858,12.293084600853552
Gubio,,59680162B83800309048446,NGA,ADM2,12.768506356196148,12.65818779150475
Chibok,,59680162B32856652540007,NGA,ADM2,12.855777620147517,10.844838190382635
Hawul,,59680162B65118596491840,NGA,ADM2,12.25944069311449,10.471410854409907
Mayo-Belwa,,59680162B66628176907248,NGA,ADM2,11.959366614663278,8.99869583763379
Mubi South,,59680162B11164722545286,NGA,ADM2,13.306845707685197,10.179471153976273
Fune,,59680162B1470225488806,NGA,ADM2,11.42459521902597,11.878008548475833
Mobbar,,59680162B87872962443621,NGA,ADM2,12.702922891121428,13.09743933703855
Potiskum,,59680162B46130456424051,NGA,ADM2,11.146223060940105,11.681445340560893
Gwoza,,59680162B2846194934808,NGA,ADM2,13.531671888870635,11.151787933702542
Guzamala,,59680162B36028411577107,NGA,ADM2,13.198028848588917,12.865891453105705
Maiha,,59680162B24409102010221,NGA,ADM2,13.16244253243227,9.850272050564678
Gulani,,59680162B10585943230735,NGA,ADM2,11.703742942123105,10.9663865018589
Fufore,,59680162B6607126567740,NGA,ADM2,12.642584144513043,9.19846290472258
Kaga,,59680162B15311652495769,NGA,ADM2,12.51716840029826,11.606925154927602
Kukawa,,59680162B26946733152657,NGA,ADM2,13.718860511374302,13.060089528392135
Gombi,,59680162B13073760931893,NGA,ADM2,12.472524823540077,10.189297809057178
Guyuk,,59680162B83966420631158,NGA,ADM2,11.907126174341807,9.84082721345735
Toungo,,59680162B46313771844948,NGA,ADM2,11.815377703768403,7.970231879689382
Shani,,59680162B31817043180897,NGA,ADM2,11.941645028842805,10.182428094901185
Yunusari,,59680162B1638752109374,NGA,ADM2,11.806980662496835,13.096106172227355
Ganye,,59680162B41420170912929,NGA,ADM2,12.016671321561743,8.427012316527701
Jada,,59680162B17489209533224,NGA,ADM2,12.437510294080507,8.672864957733188
Shelleng,,59680162B98903295811344,NGA,ADM2,12.106009460438068,9.895092347472547
Bayo,,59680162B41297071563530,NGA,ADM2,11.7017719682597,10.425328204492367
Maiduguri,,59680162B20780696540875,NGA,ADM2,13.127566463563667,11.83599933554382
Gujba,,59680162B90037113183568,NGA,ADM2,11.970985207487772,11.391697135137429
Nangere,,59680162B90533313280833,NGA,ADM2,10.990171349095569,11.828760402566239
Nganzai,,59680162B84828583281462,NGA,ADM2,13.147069456706767,12.473136442008038
Song,,59680162B82996162763265,NGA,ADM2,12.621215276513762,9.822700459836792
Damaturu,,59680162B76704120420691,NGA,ADM2,12.03369228507227,11.853137576103334
Geidam,,59680162B70118559758614,NGA,ADM2,12.1102935546009,12.679613902326167
Tarmuwa,,59680162B67238968218645,NGA,ADM2,11.822707203858663,12.262912799818812
Madagali,,59680162B31090464189446,NGA,ADM2,13.521528336354791,10.814769718131831
Michika,,59680162B49393703134220,NGA,ADM2,13.409940763934017,10.579892457433482
Mubi North,,59680162B22484757822523,NGA,ADM2,13.3519465336108,10.35547744858292
Hong,,59680162B84612216171504,NGA,ADM2,12.928461400561794,10.307207097003936
Kwaya Kusar,,59680162B43497988326934,NGA,ADM2,11.887612023421674,10.47161632746035
Bade,,59680162B86291828303656,NGA,ADM2,10.929913727775872,12.723849443835308
Bama,,59680162B41357004175190,NGA,ADM2,14.00557012852552,11.51818984453688
Bursari,,59680162B10627743467335,NGA,ADM2,11.437356398900652,12.71476411328801
Marte,,59680162B30227281044650,NGA,ADM2,13.840729782220047,12.40538735445531
Fika,,59680162B28106531466158,NGA,ADM2,11.252296513236484,11.346998090218069
Karasuwa,,59680162B67680561366569,NGA,ADM2,10.764622091519108,12.978044111579925
Jakusko,,59680162B40329870656537,NGA,ADM2,10.916008999915249,12.462106767057026
Yusufari,,59680162B61002782115608,NGA,ADM2,10.868365735174907,13.185288102520301
Abadam,,59680162B89355923746110,NGA,ADM2,13.31838126041076,13.403915324158572
Demsa,,59680162B45761287530482,NGA,ADM2,12.009207727968313,9.398547926624795
Mafa,,59680162B20020413332718,NGA,ADM2,13.551113752751107,11.987785561183173
Magumeri,,59680162B56106136996502,NGA,ADM2,12.647606923888205,12.193611265751198
Konduga,,59680162B88504568355174,NGA,ADM2,13.11436365656945,11.615053587757702
Jere,,59680162B64727590098747,NGA,ADM2,13.167110276849463,11.946763374133631
